title,location,price,room_size_sqm,listing_date,cam_free_per_month,property_type,is_finish_construct,constructed_year,bedrooms,bathrooms,no_floors,balcony_view,room_furniture,estimate_rent_per_month,url
3 Bedroom Penthouse for sale at Pyne by Sansiri ,"Thanon Phet Buri, Ratchathewi,Bangkok",47000000,122,"Apr 18, 2023",6710,Penthouse,Completed,Dec 2012,3,3,41,City View,Fully Furnished,6710,https://www.fazwaz.com/property-sales/3-bedroom-penthouse-for-sale-at-pyne-by-sansiri-in-thanon-phet-buri-bangkok-u1396280
2 Bedroom Condo for sale at Ashton Morph 38 ,"Phra Khanong, Khlong Toei,Bangkok",14000000,58,"Apr 18, 2023",2900,Condo,Completed,Dec 2012,2,1,18,"City View, Garden View",Partly Furnished,38000,https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-ashton-morph-38-in-phra-khanong-bangkok-u1169538
2 Bedroom Condo for sale at Grand Park View Asoke ,"Khlong Toei Nuea, Watthana,Bangkok",15000000,100,"Apr 18, 2023",3000,Condo,Completed,Dec 2004,2,2,30,City View,Fully Furnished,40000,https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-grand-park-view-asoke-in-khlong-toei-nuea-bangkok-u71210
2 Bedroom Condo for sale at Lumpini Center Sukhumvit 77 ,"Suan Luang, Suan Luang,Bangkok",3090000,56.70,"Apr 18, 2023",N/A,Condo,Completed,Jan 2005,2,2,7,City View,Fully Furnished,Estimate rent is not available,https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-lumpini-center-sukhumvit-77-in-suan-luang-bangkok-u1385870
2 Bedroom Condo for sale at Regent Home 22 Sukhumvit 85 ,"Bang Chak, Phra Khanong,Bangkok",5300000,95,"Apr 18, 2023",2280,Condo,Completed,Dec 2013,2,2,3,Pool View,Fully Furnished,2280,https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-regent-home-22-sukhumvit-85-in-bang-chak-bangkok-u1396218
1 Bedroom Condo for sale at The Emporio Place ,"Khlong Tan, Khlong Toei,Bangkok",16500000,85,"Apr 18, 2023",5100,Condo,Completed,Dec 2009,1,2,14,City View,Fully Furnished,45000,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-the-emporio-place-in-khlong-tan-bangkok-u153555
1 Bedroom Penthouse for sale at Le Cote Thonglor 8 ,"Khlong Tan Nuea, Watthana,Bangkok",8000000,53,"Apr 18, 2023",2915,Penthouse,Completed,Dec 2012,1,1,8,"Skyline View, City View, Garden View, Unblocked Open View",Fully Furnished,35000,https://www.fazwaz.com/property-sales/1-bedroom-penthouse-for-sale-at-le-cote-thonglor-8-in-khlong-tan-nuea-bangkok-u1157252
1 Bedroom Condo for sale at The Niche Pride Thonglor-Phetchaburi ,"Bang Kapi, Huai Khwang,Bangkok",3450000,36,"Apr 18, 2023",1656,Condo,Completed,Dec 2016,1,1,5,"River or Canal View, City View",Fully Furnished,14100,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-the-niche-pride-thonglor-phetchaburi-in-bang-kapi-bangkok-u891360
1 Bedroom Condo for sale at Condolette Midst Rama 9 ,"Huai Khwang, Huai Khwang,Bangkok",4640000,35,"Apr 18, 2023",1925,Condo,Completed,Dec 2014,1,1,16,"Skyline View, City View",Fully Furnished,18000,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-condolette-midst-rama-9-in-huai-khwang-bangkok-u164264
1 Bedroom Condo for sale at M Silom ,"Suriyawong, Bang Rak,Bangkok",12000000,60,"Apr 18, 2023",2400,Condo,Completed,Dec 2012,1,1,11,"City View, Unblocked Open View",Fully Furnished,41800,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-m-silom-in-suriyawong-bangkok-u776204
Studio Condo for sale at The Link 3 ,"Phra Khanong, Khlong Toei,Bangkok",2266000,31,"Apr 18, 2023",N/A,Condo,Completed,Oct 2009,Studio,1,6,City View,Fully Furnished,Estimate rent is not available,https://www.fazwaz.com/property-sales/studio-condo-for-sale-at-the-link-3-in-phra-khanong-bangkok-u1396102
1 Bedroom Apartment for sale at Sky Walk Residences ,"Phra Khanong Nuea, Watthana,Bangkok",6500000,40,"Apr 18, 2023",2400,Apartment,Completed,Dec 2012,1,1,24,"River or Canal View, City View, Unblocked Open View",Fully Furnished,28100,https://www.fazwaz.com/property-sales/1-bedroom-apartment-for-sale-at-sky-walk-residences-in-phra-khanong-nuea-bangkok-u267105
1 Bedroom Condo for sale at Tait 12 ,"Si Lom, Bang Rak,Bangkok",11980000,53,"Apr 18, 2023",5830,Condo,Completed,Jan 2023,1,1,9,"City View, Unblocked Open View",Partly Furnished,5830,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-tait-12-in-si-lom-bangkok-u181083
Studio Condo for sale at The Origin Onnut ,"Suan Luang, Suan Luang,Bangkok",2250000,22,"Apr 18, 2023",1276,Condo,Completed,Jul 2022,Studio,1,8,Pool View,Fully Furnished,1276,https://www.fazwaz.com/property-sales/studio-condo-for-sale-at-the-origin-onnut-in-suan-luang-bangkok-u1396096
2 Bedroom Condo for sale at A Space Asoke-Ratchada ,"Din Daeng, Din Daeng,Bangkok",3800000,53,"Apr 18, 2023",1855,Condo,Completed,Dec 2009,2,2,3,Pool View,Unfurnished,20500,https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-a-space-asoke-ratchada-in-din-daeng-bangkok-u1098848
Studio Condo for sale at The Origin Onnut ,"Suan Luang, Suan Luang,Bangkok",2050000,22,"Apr 18, 2023",1276,Condo,Completed,Jul 2022,Studio,1,4,Pool View,Fully Furnished,1276,https://www.fazwaz.com/property-sales/studio-condo-for-sale-at-the-origin-onnut-in-suan-luang-bangkok-u1396080
Studio Condo for sale at Ideo Chula - Samyan ,"Si Phraya, Bang Rak,Bangkok",4710000,28.50,"Apr 18, 2023",1568,Condo,Completed,Jan 2023,Studio,1,13,City View,Unfurnished,1568,https://www.fazwaz.com/property-sales/studio-condo-for-sale-at-ideo-chula-samyan-in-si-phraya-bangkok-u1395992
2 Bedroom Condo for sale at The Base Park East Sukhumvit 77 ,"Phra Khanong Nuea, Watthana,Bangkok",5000000,50,"Apr 18, 2023",N/A,Condo,Completed,Dec 2015,2,1,24,"City View, Unblocked Open View",Fully Furnished,30200,https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-the-base-park-east-sukhumvit-77-in-phra-khanong-nuea-bangkok-u1141242
2 Bedroom Condo for sale at The Crest Park Residences ,"Chomphon, Chatuchak,Bangkok",19010000,73.04,"Apr 18, 2023",6208,Condo,Completed,May 2022,2,2,33,Park View,Built In,6208,https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-the-crest-park-residences-in-chomphon-bangkok-u1396480
1 Bedroom Condo for sale at The Crest Park Residences ,"Chomphon, Chatuchak,Bangkok",6240000,31.91,"Apr 18, 2023",2712,Condo,Completed,May 2022,1,1,5,Park View,Built In,21200,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-the-crest-park-residences-in-chomphon-bangkok-u1396476
1 Bedroom Condo for sale at The Esse at Singha Complex ,"Bang Kapi, Huai Khwang,Bangkok",13500000,46,"Apr 18, 2023",4140,Condo,Completed,Feb 2020,1,1,14,City View,Fully Furnished,37500,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-the-esse-at-singha-complex-in-bang-kapi-bangkok-u1396158
3 Bedroom Condo for sale at Srivara Mansion 1 ,"Din Daeng, Din Daeng,Bangkok",6950000,120,"Apr 18, 2023",N/A,Condo,Completed,Jan 2010,3,2,20,City View,Partly Furnished,Estimate rent is not available,https://www.fazwaz.com/property-sales/3-bedroom-condo-for-sale-at-srivara-mansion-1-in-din-daeng-bangkok-u1124414
2 Bedroom Condo for sale at Kraam Sukhumvit 26 ,"Khlong Tan, Khlong Toei,Bangkok",39000000,110,"Apr 18, 2023",11000,Condo,Completed,Sep 2019,2,2,20,Blocked View,Fully Furnished,130000,https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-kraam-sukhumvit-26-in-khlong-tan-bangkok-u1396138
1 Bedroom Condo for sale at Elio Sukhumvit 64 ,"Bang Chak, Phra Khanong,Bangkok",2050000,30.45,"Apr 18, 2023",1370,Condo,Completed,Jan 2014,1,1,7,Pool View,Fully Furnished,9670,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-elio-sukhumvit-64-in-bang-chak-bangkok-u1395910
1 Bedroom Condo for sale at Urbano Rajavithi ,"Bang Phlat, Bang Phlat,Bangkok",3605000,31,"Apr 18, 2023",N/A,Condo,Completed,Apr 2019,1,1,16,City View,Fully Furnished,14900,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-urbano-rajavithi-in-bang-phlat-bangkok-u1396112
Studio Condo for sale at Noble Revolve Ratchada 2 ,"Huai Khwang, Huai Khwang,Bangkok",3500000,22,"Apr 18, 2023",1210,Condo,Completed,Aug 2018,Studio,1,41,City View,Fully Furnished,11100,https://www.fazwaz.com/property-sales/studio-condo-for-sale-at-noble-revolve-ratchada-2-in-huai-khwang-bangkok-u1395728
1 Bedroom Condo for sale at Rhythm Sathorn ,"Thung Wat Don, Sathon,Bangkok",6489000,45,"Apr 18, 2023",1800,Condo,Completed,Dec 2015,1,1,11,City View,Fully Furnished,23000,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-rhythm-sathorn-in-thung-wat-don-bangkok-u666772
1 Bedroom Condo for sale at XT Phayathai ,"Thanon Phaya Thai, Ratchathewi,Bangkok",5047000,41,"Apr 18, 2023",1640,Condo,Completed,Aug 2022,1,1,8,City View,Fully Furnished,1640,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-xt-phayathai-in-thanon-phaya-thai-bangkok-u1395708
2 Bedroom Condo for sale at Bangna Residence ,"Bang Na, Bang Na,Bangkok",3000000,62,"Apr 17, 2023",N/A,Condo,Completed,Dec 2002,2,1,9,City View,Fully Furnished,Estimate rent is not available,https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-bangna-residence-in-bang-na-bangkok-u154692
1 Bedroom Condo for sale at Knightsbridge Prime Sathorn ,"Thung Wat Don, Sathon,Bangkok",6150000,38,"Apr 17, 2023",2090,Condo,Completed,Jul 2019,1,1,30,City View,Fully Furnished,29000,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-knightsbridge-prime-sathorn-in-thung-wat-don-bangkok-u639456
2 Bedroom Condo for sale at Sindhorn Residence [Leasehold] ,"Wang Mai, Pathum Wan,Bangkok",37000000,147,"Apr 17, 2023",N/A,Condo,Completed,Jul 2018,2,2,11,City View,Negotiable,140000,https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-sindhorn-residence-in-wang-mai-bangkok-u1394760
2 Bedroom Condo for sale at Knightsbridge Collage Ramkhamhaeng ,"Hua Mak, Bang Kapi,Bangkok",4017000,31.88,"Apr 17, 2023",1435,Condo,Completed,Mar 2020,2,1,10,City View,Fully Furnished,15600,https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-knightsbridge-collage-ramkhamhaeng-in-hua-mak-bangkok-u1395908
1 Bedroom Condo for sale at Premio Fresco ,"Anusawari, Bang Khen,Bangkok",2550000,33,"Apr 17, 2023",1485,Condo,Completed,Nov 2016,1,1,7,"City View, Unblocked Open View",Fully Furnished,1485,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-premio-fresco-in-anusawari-bangkok-u1390110
1 Bedroom Condo for sale at The River by Raimon Land ,"Khlong Ton Sai, Khlong San,Bangkok",12000000,57,"Apr 17, 2023",5130,Condo,Completed,Dec 2009,1,1,10,City View,Fully Furnished,32000,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-the-river-by-raimon-land-in-khlong-ton-sai-bangkok-u1395834
1 Bedroom Condo for sale at The River by Raimon Land ,"Khlong Ton Sai, Khlong San,Bangkok",9000000,61,"Apr 17, 2023",5490,Condo,Completed,Dec 2009,1,1,36,City View,Partly Furnished,31000,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-the-river-by-raimon-land-in-khlong-ton-sai-bangkok-u1395826
1 Bedroom Condo for sale at Rhythm Sukhumvit 50 ,"Phra Khanong, Khlong Toei,Bangkok",6000000,46,"Apr 17, 2023",1840,Condo,Completed,Dec 2013,1,1,14,City View,Fully Furnished,25000,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-rhythm-sukhumvit-50-in-phra-khanong-bangkok-u1385134
1 Bedroom Condo for sale at The Address Asoke ,"Makkasan, Ratchathewi,Bangkok",6000000,45,"Apr 17, 2023",1800,Condo,Completed,Dec 2012,1,1,11,City View,Fully Furnished,22000,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-the-address-asoke-in-makkasan-bangkok-u653992
1 Bedroom Condo for sale at Circle Condominium ,"Makkasan, Ratchathewi,Bangkok",5000000,47,"Apr 17, 2023",1880,Condo,Completed,Dec 2012,1,1,27,"City View, Pool View",Fully Furnished,17000,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-circle-condominium-in-makkasan-bangkok-u250973
1 Bedroom Condo for sale at Supalai Oriental Sukhumvit 39 ,"Khlong Tan Nuea, Watthana,Bangkok",6100000,49,"Apr 17, 2023",2205,Condo,Completed,Dec 2020,1,1,2,Garden View,Fully Furnished,21000,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-supalai-oriental-sukhumvit-39-in-khlong-tan-nuea-bangkok-u1084018
3 Bedroom Condo for sale at Liberty Park 1 ,"Khlong Toei Nuea, Watthana,Bangkok",27000000,239.50,"Apr 17, 2023",N/A,Condo,Completed,Jan 1993,3,3,27,City View,Partly Furnished,62900,https://www.fazwaz.com/property-sales/3-bedroom-condo-for-sale-at-liberty-park-1-in-khlong-toei-nuea-bangkok-u1086214
2 Bedroom Condo for sale at The Bangkok Sathorn ,"Thung Wat Don, Sathon,Bangkok",28430000,120.97,"Apr 17, 2023",8468,Condo,Completed,Dec 2015,2,2,27,City View,Unfurnished,79700,https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-the-bangkok-sathorn-in-thung-wat-don-bangkok-u1063060
1 Bedroom Condo for sale at Regent Home 5 Ratchada 19 ,"Arun Ammarin, Bangkok Noi,Bangkok",2600000,63,"Apr 17, 2023",11000,Condo,Completed,Jan 2008,1,2,5,"City View, Unblocked Open View",Fully Furnished,11000,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-regent-home-5-ratchada-19-in-arun-ammarin-bangkok-u1392638
1 Bedroom Condo for sale at Regent Home 5 Ratchada 19 ,"Arun Ammarin, Bangkok Noi,Bangkok",1250000,32.20,"Apr 17, 2023",N/A,Condo,Completed,Jan 2008,1,1,5,N/A,Partly Furnished,5480,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-regent-home-5-ratchada-19-in-arun-ammarin-bangkok-u219056
1 Bedroom Condo for sale at Sathorn Gardens ,"Thung Mahamek, Sathon,Bangkok",10500000,64,"Apr 17, 2023",1600,Condo,Completed,Dec 2008,1,1,25,City View,Fully Furnished,35000,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-sathorn-gardens-in-thung-mahamek-bangkok-u1136598
2 Bedroom Condo for sale at Supreme Ville ,"Thung Mahamek, Sathon,Bangkok",8900000,115.64,"Apr 17, 2023",4626,Condo,Completed,Jan 1998,2,2,2,Garden View,Unfurnished,35300,https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-supreme-ville-in-thung-mahamek-bangkok-u1182294
2 Bedroom Condo for sale at Maestro 03 Ratchada-Rama 9 ,"Din Daeng, Din Daeng,Bangkok",9476000,57,"Apr 17, 2023",3705,Condo,Completed,May 2018,2,1,2,Garden View,Fully Furnished,29200,https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-maestro-03-ratchada-rama-9-in-din-daeng-bangkok-u1395640
1 Bedroom Condo for sale at Aspire Sukhumvit-Onnut ,"Suan Luang, Suan Luang,Bangkok",2250000,30,"Apr 17, 2023",1710,Condo,Completed,Dec 2020,1,1,3,"River or Canal View, Unblocked Open View",Partly Furnished,8270,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-aspire-sukhumvit-onnut-in-suan-luang-bangkok-u1392610
Studio Condo for sale at Aspire Ladprao 113 ,"Khlong Chan, Bang Kapi,Bangkok",1960000,25,"Apr 17, 2023",1700,Condo,Completed,Jul 2017,Studio,1,7,City View,Fully Furnished,8550,https://www.fazwaz.com/property-sales/studio-condo-for-sale-at-aspire-ladprao-113-in-khlong-chan-bangkok-u1395638
1 Bedroom Condo for sale at The Trust Residence Ratchada-Rama 3 ,"Chong Nonsi, Yan Nawa,Bangkok",1790000,28,"Apr 17, 2023",840,Condo,Completed,Jan 2013,1,1,9,City View,Fully Furnished,9110,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-the-trust-residence-ratchada-rama-3-in-chong-nonsi-bangkok-u1395636
1 Bedroom Condo for sale at Life @ Sukhumvit 65 ,"Phra Khanong, Khlong Toei,Bangkok",4800000,41,"Apr 17, 2023",1353,Condo,Completed,Dec 2008,1,1,14,City View,Fully Furnished,18000,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-life-at-sukhumvit-65-in-phra-khanong-bangkok-u1395458
1 Bedroom Condo for sale at The Empire Place ,"Thung Wat Don, Sathon,Bangkok",8900000,65,"Apr 17, 2023",2600,Condo,Completed,Dec 2009,1,1,33,"City View, Unblocked Open View",Fully Furnished,30000,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-the-empire-place-in-thung-wat-don-bangkok-u1395454
1 Bedroom Condo for sale at Noble Ploenchit ,"Lumphini, Pathum Wan,Bangkok",14850000,45,"Apr 17, 2023",2700,Condo,Completed,Dec 2016,1,1,23,City View,Fully Furnished,43500,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-noble-ploenchit-in-lumphini-bangkok-u1395398
1 Bedroom Condo for sale at Baan Ploenchit ,"Lumphini, Pathum Wan,Bangkok",4800000,43,"Apr 17, 2023",1505,Condo,Completed,Dec 1993,1,1,12,City View,Fully Furnished,28700,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-baan-ploenchit-in-lumphini-bangkok-u1394918
1 Bedroom Condo for sale at Atmoz Ladphrao 15 ,"Chomphon, Chatuchak,Bangkok",2450000,26,"Apr 17, 2023",1170,Condo,Completed,Jan 2020,1,1,7,City View,Fully Furnished,1170,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-atmoz-ladphrao-15-in-chomphon-bangkok-u1394596
2 Bedroom Condo for sale at The Vertical Aree ,"Sam Sen Nai, Phaya Thai,Bangkok",11330000,70,"Apr 17, 2023",3500,Condo,Completed,Dec 2010,2,2,11,City View,Partly Furnished,36100,https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-the-vertical-aree-in-sam-sen-nai-bangkok-u1377468
1 Bedroom Condo for sale at Interlux Premier Sukhumvit 13 ,"Khlong Toei Nuea, Watthana,Bangkok",3500000,30,"Apr 17, 2023",1500,Condo,Completed,Dec 2016,1,1,2,Blocked View,Fully Furnished,Estimate rent is not available,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-interlux-premier-sukhumvit-13-in-khlong-toei-nuea-bangkok-u1062826
1 Bedroom Condo for sale at Baan Ploenchit ,"Lumphini, Pathum Wan,Bangkok",6000000,62,"Apr 17, 2023",2170,Condo,Completed,Dec 1993,1,1,14,City View,Fully Furnished,35900,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-baan-ploenchit-in-lumphini-bangkok-u1394910
1 Bedroom Condo for sale at Interlux Premier Sukhumvit 13 ,"Khlong Toei Nuea, Watthana,Bangkok",5500000,30,"Apr 17, 2023",1500,Condo,Completed,Dec 2016,1,1,4,City View,Fully Furnished,Estimate rent is not available,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-interlux-premier-sukhumvit-13-in-khlong-toei-nuea-bangkok-u639206
1 Bedroom Condo for sale at LIB Condo Ramkhamhaeng 43/1 ,"Phlapphla, Wang Thong Lang,Bangkok",1490000,27,"Apr 17, 2023",1300,Condo,Completed,Jan 2015,1,1,7,"Pool View, Garden View, Unblocked Open View",Unfurnished,6500,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-lib-condo-ramkhamhaeng-431-in-phlapphla-bangkok-u1391960
1 Bedroom Condo for sale at Aspire Sathorn-Taksin ,"Bang Kho, Chom Thong,Bangkok",2500000,26,"Apr 17, 2023",1170,Condo,Completed,Dec 2014,1,1,18,City View,Fully Furnished,10800,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-aspire-sathorn-taksin-in-bang-kho-bangkok-u1394584
1 Bedroom Condo for sale at Noble Remix ,"Khlong Tan, Khlong Toei,Bangkok",6800000,55,"Apr 17, 2023",2200,Condo,Completed,Dec 2007,1,1,4,City View,Fully Furnished,28700,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-noble-remix-in-khlong-tan-bangkok-u1395180
1 Bedroom Condo for sale at Centric Ari Station ,"Sam Sen Nai, Phaya Thai,Bangkok",6180000,33,"Apr 17, 2023",1980,Condo,Completed,Dec 2015,1,1,10,City View,Fully Furnished,21000,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-centric-ari-station-in-sam-sen-nai-bangkok-u1394268
1 Bedroom Condo for sale at The Parkland Phetkasem ,"Bang Khae, Bang Khae,Bangkok",2590000,30,"Apr 17, 2023",1350,Condo,Completed,Dec 2016,1,1,6,City View,Unfurnished,13200,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-the-parkland-phetkasem-in-bang-khae-bangkok-u1395378
2 Bedroom Condo for sale at Le Nice Ekamai ,"Khlong Tan Nuea, Watthana,Bangkok",7490000,70,"Apr 17, 2023",2800,Condo,Completed,Dec 2009,2,2,2,City View,Fully Furnished,33000,https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-le-nice-ekamai-in-khlong-tan-nuea-bangkok-u1389810
2 Bedroom Condo for sale at Villa Sikhara ,"Khlong Tan Nuea, Watthana,Bangkok",8700000,88.70,"Apr 17, 2023",N/A,Condo,Completed,Jan 2009,2,2,7,City View,Built In,37100,https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-villa-sikhara-in-khlong-tan-nuea-bangkok-u1369088
2 Bedroom Condo for sale at S.V. City Rama 3 ,"Bang Phongphang, Yan Nawa,Bangkok",3380000,75,"Apr 17, 2023",1875,Condo,Completed,Jun 1996,2,1,14,"River or Canal View, City View, Garden View, Unblocked Open View",Fully Furnished,13600,https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-sv-city-rama-3-in-bang-phongphang-bangkok-u1395154
3 Bedroom Condo for sale at Baan Sathorn Chaophraya ,"Khlong Ton Sai, Khlong San,Bangkok",10900000,140,"Apr 17, 2023",N/A,Condo,Completed,Dec 2005,3,2,18,"River or Canal View, City View",Partly Furnished,38700,https://www.fazwaz.com/property-sales/3-bedroom-condo-for-sale-at-baan-sathorn-chaophraya-in-khlong-ton-sai-bangkok-u646384
1 Bedroom Condo for sale at Aspire Rama 4 ,"Phra Khanong, Khlong Toei,Bangkok",2200000,28,"Apr 17, 2023",980,Condo,Completed,Dec 2011,1,1,12,City View,Fully Furnished,10000,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-aspire-rama-4-in-phra-khanong-bangkok-u1395140
2 Bedroom Condo for sale at MAXXI Condo Ratchayothin-Phaholyothin 34 ,"Sena Nikhom, Chatuchak,Bangkok",2976700,32,"Apr 17, 2023",N/A,Condo,Completed,Jan 2019,2,1,8,City View,N/A,Estimate rent is not available,https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-maxxi-condo-ratchayothin-phaholyothin-34-in-sena-nikhom-bangkok-u1395366
2 Bedroom Condo for sale at Lumpini Park Riverside Rama 3 ,"Bang Phongphang, Yan Nawa,Bangkok",4490000,52,"Apr 17, 2023",1820,Condo,Completed,Dec 2011,2,2,36,"City View, Pool View",Unfurnished,15900,https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-lumpini-park-riverside-rama-3-in-bang-phongphang-bangkok-u1394992
Studio Condo for sale at Life Asoke Rama 9 ,"Makkasan, Ratchathewi,Bangkok",3990000,26,"Apr 17, 2023",1300,Condo,Completed,Jan 2020,Studio,1,33,City View,Fully Furnished,15400,https://www.fazwaz.com/property-sales/studio-condo-for-sale-at-life-asoke-rama-9-in-makkasan-bangkok-u1395294
2 Bedroom Condo for sale at D'Memoria ,"Sam Sen Nai, Phaya Thai,Bangkok",7200000,60.90,"Apr 17, 2023",N/A,Condo,Completed,Aug 2015,2,2,5,City View,Fully Furnished,25500,https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-dmemoria-in-sam-sen-nai-bangkok-u1395236
1 Bedroom Condo for sale at Ashton Chula-Silom ,"Si Phraya, Bang Rak,Bangkok",7999000,34.50,"Apr 17, 2023",2243,Condo,Completed,Nov 2018,1,1,36,City View,Unfurnished,27500,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-ashton-chula-silom-in-si-phraya-bangkok-u1395232
1 Bedroom Condo for sale at Aspire Sathorn-Taksin ,"Bang Kho, Chom Thong,Bangkok",2000000,28,"Apr 17, 2023",1260,Condo,Completed,Dec 2014,1,1,3,"Garden View, Unblocked Open View",Fully Furnished,8500,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-aspire-sathorn-taksin-in-bang-kho-bangkok-u1391792
1 Bedroom Condo for sale at Vtara Sukhumvit 36 ,"Khlong Tan, Khlong Toei,Bangkok",5900000,45,"Apr 17, 2023",2475,Condo,Completed,May 2019,1,1,5,"City View, Unblocked Open View",Fully Furnished,20000,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-vtara-sukhumvit-36-in-khlong-tan-bangkok-u1075454
2 Bedroom Condo for sale at Juldis River Mansion ,"Wat Sam Phraya, Phra Nakhon,Bangkok",8000000,95,"Apr 17, 2023",N/A,Condo,Completed,Dec 1995,2,2,4,"River or Canal View, City View",Fully Furnished,35000,https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-juldis-river-mansion-in-wat-sam-phraya-bangkok-u1395200
1 Bedroom Condo for sale at Langsuan Ville ,"Lumphini, Pathum Wan,Bangkok",16000000,91,"Apr 17, 2023",5005,Condo,Completed,Dec 2001,1,1,12,City View,Fully Furnished,50000,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-langsuan-ville-in-lumphini-bangkok-u1394088
2 Bedroom Condo for sale at Royce Private Residences ,"Khlong Toei Nuea, Watthana,Bangkok",25000000,115,"Apr 17, 2023",10350,Condo,Completed,Dec 2012,2,2,23,"City View, Unblocked Open View",Fully Furnished,85000,https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-royce-private-residences-in-khlong-toei-nuea-bangkok-u1395184
1 Bedroom Condo for sale at The Parkland Grand Asoke-Phetchaburi ,"Bang Kapi, Huai Khwang,Bangkok",3350000,36,"Apr 17, 2023",1260,Condo,Completed,Jan 2012,1,1,22,City View,Fully Furnished,13800,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-the-parkland-grand-asoke-phetchaburi-in-bang-kapi-bangkok-u1395188
1 Bedroom Condo for sale at 38 Mansion ,"Phra Khanong, Khlong Toei,Bangkok",5200000,64.89,"Apr 17, 2023",N/A,Condo,Completed,Jan 1992,1,1,9,City View,Fully Furnished,22000,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-38-mansion-in-phra-khanong-bangkok-u1019514
