lat,lng,property_name
13.8406335,100.5778489,Miti Chiva Kaset Station 
13.7319444,100.5625874,Fairview Tower 
13.7710648,100.614025,Sukhapiban 3 Mansion 
13.7341183,100.4761897,P and S Place 
13.7129825,100.591402,KnightsBridge Space Sukhumvit-Rama 4 
13.8189974,100.7043462,Baan Ua-Athorn Ramintra 117 
13.7219133,100.576476,La Vie En Rose Place 
13.8074213,100.5756538,The Origin Ratchada - Ladprao 
13.7169108,100.5053711,Flexi Sathorn - Charoennakorn 
13.8054716,100.5784872,My Condo Ladprao 27 
13.7747815,100.4851937,Thana Tower 
13.699031,100.4964315,August Condo Charoenkrung 80 
13.7069202,100.4911261,Na Reva Charoennakhon 
13.7313899,100.5235248,Chapter Chula-Samyan 
13.7003241,100.5445968,Siamese Nang Linchee 
13.7225499,100.5259589,Tait 12 
13.7280351,100.5684762,Siri Residence 
13.719841,100.5400773,Supalai Oriental Place Sathorn-Suanplu 
13.8409017,100.5838776,Hesper Red Kaset 
13.7783299,100.5745,Ideo Ratchada-Huaykwang 
13.732188,100.5265177,Wish @ Samyan 
13.723266,100.5833259,The Address Sukhumvit 61 
13.7276547,100.5281612,ITF Silom Palace 
13.7919717,100.659077,Baan Eua Arthorn Buengkum 
13.7161269,100.4807026,The Parkland Grand Taksin 
13.7134118,100.4335319,Origin Place Phetkasem 
13.7072685,100.5978225,The Link 3 
13.7122232,100.6147814,Aspire Sukhumvit-Onnut 
13.7260725,100.5395293,Saladaeng One 
13.7978922,100.5864787,The Revo Ladprao 48 
13.7085357,100.6187882,Baan On Nut Sukhumvit 77 
13.7075988,100.6007253,Q House Condo Sukhumvit 79 
13.7122979,100.4736511,Supalai Park Talat Phlu Station 
13.6856156,100.6119372,Whizdom Inspire Sukhumvit 
13.7172747,100.547411,Baan Siri Sathorn Yenakard 
13.6638302,100.429461,The Bella Condo Rama 2 
13.8064036,100.5726354,Chapter One Midtown Ladprao 24 
13.7016142,100.5359646,Bangkok Garden 
13.7048718,100.6069921,Regent Home 22 Sukhumvit 85 
13.6734912,100.5384584,Sapphire Luxurious Condominium Rama 3 
13.6999565,100.6754809,Prueksa Thani Life Condotel 
13.7369988,100.5846197,Icon III 
13.7491295,100.5438188,Q Chidlom-Phetchaburi 
13.6843344,100.6245615,B Republic 
13.7212221,100.5071709,Urbano Absolute Sathon-Taksin 
13.8411081,100.5721568,Premio Vetro 
13.7409715,100.564437,Rende Sukhumvit 23 
13.7923828,100.5444444,Intro Phaholyothin-Pradipat 
13.7223938,100.5368877,The Reserve Sathorn 
13.7335061,100.5265264,Ideo Q Chula Samyan 
13.7398558,100.572639,Maestro 39 
13.7144925,100.6033164,Park Court Sukhumvit 77 
13.782413,100.671742,I CONDO Sukhapiban 2 
13.753484,100.6307831,Lumpini Ville Ramkhamhaeng 26 
13.8253032,100.5683793,Elephant Tower 
13.7223639,100.50856,The LightHouse Sathorn–Chareonnakorn 
13.6654057,100.6430622,Origin Place Bangna 
13.7208764,100.5763047,Ideo Sukhumvit - Rama 4 
13.8069227,100.5726613,Ideo Ladprao 17 
13.838583,100.5825706,You 3 Condo at Yak Kaset 
13.709393,100.5404397,The Issara Sathorn 
13.7638097,100.4910842,Rattanakosin View Mansion 
13.7616217,100.5426985,Chewathai Ratchaprarop 
13.7099744,100.4093947,The Parkland Phetkasem 
13.7376138,100.5626623,Le Premier 1 
13.6707821,100.6374845,Bangna Complex 
13.7091638,100.5989587,Ramada Plaza By Wyndham Bangkok Sukhumvit 48 
